,id,annId,title,content,attachPath,attachFormat,attachSize,_index,publishTime,secCode,secName,bondType,bigIndustryCode,bigCategoryId,smallCategoryId,channelCode
0,8ec7ab4c-de7f-408e-8c2c-d6bfdd4414ba,1215173883,22润置13：华润置地控股有限公司2022年面向专业投资者公开发行公司债券（第七期）募集说明书,,/disc/disk03/finalpage/2022-11-22/20108a8f-6f00-42e2-8ea5-c7521c72b45a.PDF,PDF,7607,ows_disclosure-20180825,2022-11-22 16:50:38,['148132'],['22润置13'],,,,,
0,8ddd2e1c-4d54-4cb3-83ef-185adcedc7da,1215173865,22润置12：华润置地控股有限公司2022年面向专业投资者公开发行公司债券（第七期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-22/1de451b9-326a-48d9-8beb-09fd4b0678ba.PDF,PDF,3304,ows_disclosure-20180825,2022-11-22 16:50:37,['148131'],['22润置12'],,,,,
0,6ec04cb1-3262-4fcc-bd39-c9a8ae386b4c,1215173864,22润置12：华润置地控股有限公司2022年面向专业投资者公开发行公司债券（第七期）募集说明书,,/disc/disk03/finalpage/2022-11-22/9dc8b620-4d8f-42e0-a078-c22d12fedfd0.PDF,PDF,7607,ows_disclosure-20180825,2022-11-22 16:50:37,['148131'],['22润置12'],,,,,
0,8d02121a-5078-4298-b5f7-73d32f3d8d1c,1215127400,22南集01：南平武夷集团有限公司2022年面向专业投资者公开发行公司债券（第一期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-16/183ffc29-6922-4b8d-848c-913882d324b5.PDF,PDF,2271,ows_disclosure-20180825,2022-11-16 17:28:28,['148130'],['22南集01'],,,,,
0,227ed9bd-4001-4765-ade6-ff7bf5936cb0,1215127399,22南集01：南平武夷集团有限公司2022年面向专业投资者公开发行公司债券（第一期）募集说明书,,/disc/disk03/finalpage/2022-11-16/a88e9e6a-164b-43f0-a969-c95a77be4590.PDF,PDF,12183,ows_disclosure-20180825,2022-11-16 17:28:26,['148130'],['22南集01'],,,,,
0,22343f64-e622-48d2-8b92-f78ec802ac80,1215083973,22中证10：中证信用增进股份有限公司2022年面向专业投资者公开发行公司债券（第一期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-11/a3e57d4c-540b-409c-91b9-b744cffecc6d.PDF,PDF,1665,ows_disclosure-20180825,2022-11-11 19:20:23,['148127'],['22中证10'],,,,,
0,0e2b9cac-943c-489f-b752-79199cb9ef49,1215083972,22中证10：中证信用增进股份有限公司2022年面向专业投资者公开发行公司债券（第一期）募集说明书,,/disc/disk03/finalpage/2022-11-11/0e3c5edf-66be-464f-b051-4da260338fe7.PDF,PDF,10781,ows_disclosure-20180825,2022-11-11 19:20:23,['148127'],['22中证10'],,,,,
0,ea4a0921-6b26-4f82-8dce-2f8e985e9cb7,1215069583,22能投03：云南省能源投资集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书,,/disc/disk03/finalpage/2022-11-11/811c4fb0-295b-4ded-8ccd-d08481df29ff.PDF,PDF,5702,ows_disclosure-20180825,2022-11-11 00:00:00,['148118'],['22能投03'],,,,,
0,a71afbbb-be10-41f6-840e-fb5d654bec5c,1215069585,22能投03：云南省能源投资集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-11/5377c34c-05f0-47b4-9a86-bd7d146a3863.PDF,PDF,2011,ows_disclosure-20180825,2022-11-11 00:00:00,['148118'],['22能投03'],,,,,
0,e7cc3d64-f4a1-454c-900f-1a6b7595bb7f,1215071412,22蛇口07：招商局蛇口工业区控股股份有限公司2022年面向专业投资者公开发行公司债券（第四期）募集说明书,,/disc/disk03/finalpage/2022-11-10/2a041f22-5589-42b1-a173-e8430c33c47a.PDF,PDF,10872,ows_disclosure-20180825,2022-11-10 19:32:25,['148119'],['22蛇口07'],,,,,
0,4125e4e1-3ab3-4828-8642-6b9c0768d454,1215071416,22蛇口08：招商局蛇口工业区控股股份有限公司2022年面向专业投资者公开发行公司债券（第四期）募集说明书,,/disc/disk03/finalpage/2022-11-10/fc058729-9782-4027-8349-7ef1621fec55.PDF,PDF,10872,ows_disclosure-20180825,2022-11-10 19:32:25,['148120'],['22蛇口08'],,,,,
0,14e5787c-077d-49de-a159-50a6cd5ba5d9,1215071417,22蛇口08：招商局蛇口工业区控股股份有限公司2022年面向专业投资者公开发行公司债券（第四期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-10/af091baf-81cf-4220-ab9c-4e8730acebb1.PDF,PDF,4950,ows_disclosure-20180825,2022-11-10 19:32:25,['148120'],['22蛇口08'],,,,,
0,020a8389-bb61-4e67-b8e2-191a1fa6d88e,1215071413,22蛇口07：招商局蛇口工业区控股股份有限公司2022年面向专业投资者公开发行公司债券（第四期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-10/44ac7dff-9801-4d92-8783-33fe39dcc48f.PDF,PDF,4950,ows_disclosure-20180825,2022-11-10 19:32:25,['148119'],['22蛇口07'],,,,,
0,24976c9e-bc62-4c68-beaa-b701bb390293,1215069429,22深铁09：深圳市地铁集团有限公司2022年面向专业投资者公开发行公司债券（第六期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-10/2da7cd5f-f4c3-43bd-b53c-f8957fe90b6d.PDF,PDF,3502,ows_disclosure-20180825,2022-11-10 17:06:28,['148126'],['22深铁09'],,,,,
